ts_utc,equity,cash,n_positions,day_pct
2026-07-19T22:18:23Z,500.00,500.00,0,0.0000
2026-07-19T22:19:35Z,500.00,500.00,0,0.0000
2026-07-19T22:30:01Z,500.00,500.00,0,0.0000
2026-07-19T23:00:00Z,500.00,500.00,0,0.0000
2026-07-19T23:30:00Z,500.00,500.00,0,0.0000
2026-07-20T00:30:00Z,500.00,450.00,1,0.0000
2026-07-20T01:00:00Z,499.76,450.00,1,-0.0005
2026-07-20T01:30:00Z,499.99,450.00,1,-0.0000
2026-07-20T02:00:00Z,499.81,450.00,1,-0.0004
2026-07-20T02:30:00Z,499.84,450.00,1,-0.0003
2026-07-20T03:00:00Z,499.97,450.00,1,-0.0001
2026-07-20T03:30:00Z,499.85,450.00,1,-0.0003
2026-07-20T04:00:00Z,500.00,450.00,1,0.0000
2026-07-20T04:30:00Z,499.92,450.00,1,-0.0002
2026-07-20T05:00:00Z,499.76,450.00,1,-0.0005
2026-07-20T05:30:01Z,499.47,450.00,1,-0.0010
2026-07-20T06:00:00Z,499.43,450.00,1,-0.0011
2026-07-20T06:30:01Z,499.42,450.00,1,-0.0012
2026-07-20T07:00:00Z,499.26,450.00,1,-0.0015
2026-07-20T07:30:00Z,499.42,450.00,1,-0.0011
2026-07-20T08:00:00Z,499.52,450.00,1,-0.0009
2026-07-20T08:30:00Z,499.51,450.00,1,-0.0010
2026-07-20T09:00:00Z,499.37,450.00,1,-0.0013
2026-07-20T09:30:00Z,499.48,450.00,1,-0.0010
2026-07-20T10:00:00Z,499.47,450.00,1,-0.0010
2026-07-20T10:30:00Z,499.59,450.00,1,-0.0008
2026-07-20T11:00:01Z,499.55,450.00,1,-0.0009
2026-07-20T11:30:00Z,499.59,450.00,1,-0.0008
2026-07-20T12:00:00Z,500.10,450.00,1,0.0002
2026-07-20T12:30:00Z,499.86,450.00,1,-0.0003
2026-07-20T13:00:01Z,499.83,450.00,1,-0.0003
2026-07-20T13:30:00Z,499.76,450.00,1,-0.0005
2026-07-20T14:00:00Z,499.59,450.00,1,-0.0008
2026-07-20T14:30:00Z,499.69,450.00,1,-0.0006
2026-07-20T15:00:00Z,499.68,450.00,1,-0.0006
2026-07-20T15:30:01Z,500.07,450.00,1,0.0002
2026-07-20T16:00:01Z,500.57,450.00,1,0.0012
2026-07-20T16:30:00Z,500.44,450.00,1,0.0009
2026-07-20T17:00:00Z,500.49,450.00,1,0.0010
2026-07-20T17:30:00Z,500.49,450.00,1,0.0010
2026-07-20T18:00:00Z,500.56,450.00,1,0.0011
2026-07-20T18:30:00Z,500.56,450.00,1,0.0011
2026-07-20T19:00:00Z,500.29,450.00,1,0.0006
2026-07-20T19:30:00Z,500.22,450.00,1,0.0004
2026-07-20T20:00:00Z,500.24,450.00,1,0.0005
2026-07-20T20:30:00Z,500.33,450.00,1,0.0007
2026-07-20T21:00:00Z,500.39,450.00,1,0.0008
2026-07-20T21:30:00Z,500.34,450.00,1,0.0007
2026-07-20T22:00:00Z,500.33,450.00,1,0.0007
2026-07-20T22:30:00Z,500.27,450.00,1,0.0006
2026-07-20T23:00:00Z,500.22,450.00,1,0.0005
2026-07-20T23:30:01Z,500.30,450.00,1,0.0006
2026-07-21T00:00:02Z,500.29,450.00,1,0.0006
2026-07-21T01:00:00Z,500.54,450.00,1,0.0011
2026-07-21T12:30:00Z,501.24,450.00,1,0.0000
2026-07-21T13:00:00Z,501.30,450.00,1,0.0001
2026-07-21T13:30:00Z,501.21,450.00,1,-0.0000
2026-07-21T14:00:00Z,501.48,450.00,1,0.0005
2026-07-21T14:30:00Z,501.47,450.00,1,0.0005
2026-07-21T15:00:01Z,501.54,450.00,1,0.0006
2026-07-21T15:30:00Z,501.37,450.00,1,0.0003
2026-07-21T16:00:00Z,501.41,450.00,1,0.0003
2026-07-21T16:30:00Z,501.30,450.00,1,0.0001
2026-07-21T17:00:00Z,501.31,450.00,1,0.0001
2026-07-21T17:30:00Z,501.23,450.00,1,-0.0000
2026-07-21T18:00:00Z,501.04,450.00,1,-0.0004
2026-07-21T18:30:00Z,501.06,450.00,1,-0.0003
2026-07-21T19:00:00Z,501.13,450.00,1,-0.0002
2026-07-21T19:30:00Z,501.19,450.00,1,-0.0001
2026-07-21T20:00:00Z,501.23,450.00,1,-0.0000
2026-07-21T20:30:00Z,501.19,450.00,1,-0.0001
2026-07-21T21:00:00Z,501.19,450.00,1,-0.0001
2026-07-21T21:30:00Z,501.13,450.00,1,-0.0002
2026-07-21T22:00:00Z,501.18,450.00,1,-0.0001
2026-07-21T22:30:00Z,501.09,450.00,1,-0.0003
2026-07-21T23:00:00Z,501.11,450.00,1,-0.0002
2026-07-21T23:30:00Z,501.19,450.00,1,-0.0001
2026-07-22T00:00:00Z,501.31,450.00,1,0.0001
2026-07-22T00:30:00Z,501.39,450.00,1,0.0003
2026-07-22T01:00:00Z,501.38,450.00,1,0.0003
2026-07-22T01:30:00Z,501.15,450.00,1,-0.0002
2026-07-22T02:00:00Z,501.19,450.00,1,-0.0001
2026-07-22T02:30:00Z,501.18,450.00,1,-0.0001
2026-07-22T03:00:00Z,501.12,450.00,1,-0.0002
2026-07-22T03:30:00Z,501.09,450.00,1,-0.0003
2026-07-22T04:00:00Z,501.03,450.00,1,0.0000
2026-07-22T04:30:00Z,501.16,450.00,1,0.0003
2026-07-22T13:24:35Z,500.55,450.00,1,-0.0010
2026-07-22T13:30:00Z,500.59,450.00,1,-0.0009
2026-07-22T14:00:00Z,500.83,450.00,1,-0.0004
2026-07-22T14:30:00Z,500.59,450.00,1,-0.0009
2026-07-22T15:00:00Z,500.73,450.00,1,-0.0006
2026-07-22T15:30:00Z,500.95,450.00,1,-0.0002
2026-07-22T16:00:00Z,500.92,450.00,1,-0.0002
2026-07-22T16:30:00Z,500.91,450.00,1,-0.0002
2026-07-22T17:00:00Z,501.07,450.00,1,0.0001
2026-07-22T17:30:00Z,500.88,450.00,1,-0.0003
2026-07-22T18:00:00Z,500.91,450.00,1,-0.0002
2026-07-22T18:30:00Z,500.78,450.00,1,-0.0005
2026-07-22T19:00:00Z,500.81,450.00,1,-0.0004
2026-07-22T19:30:00Z,500.81,450.00,1,-0.0004
2026-07-22T20:00:01Z,500.83,450.00,1,-0.0004
2026-07-22T20:30:00Z,500.83,450.00,1,-0.0004
2026-07-22T21:00:00Z,500.83,450.00,1,-0.0004
2026-07-22T21:30:00Z,500.82,450.00,1,-0.0004
2026-07-22T22:00:00Z,500.94,450.00,1,-0.0002
2026-07-22T22:30:00Z,500.90,450.00,1,-0.0003
2026-07-22T23:00:00Z,500.92,450.00,1,-0.0002
2026-07-22T23:30:00Z,500.86,450.00,1,-0.0003
2026-07-23T00:00:00Z,500.98,450.00,1,-0.0001
2026-07-23T00:30:00Z,501.08,450.00,1,0.0001
2026-07-23T01:00:00Z,500.94,450.00,1,-0.0002
2026-07-23T01:30:00Z,500.83,450.00,1,-0.0004
2026-07-23T02:00:00Z,500.76,450.00,1,-0.0005
2026-07-23T02:30:01Z,500.68,450.00,1,-0.0007
2026-07-23T03:00:00Z,500.74,450.00,1,-0.0006
2026-07-23T03:30:01Z,500.61,450.00,1,-0.0008
2026-07-23T04:00:00Z,500.62,450.00,1,0.0000
2026-07-23T04:30:00Z,500.65,450.00,1,0.0001
2026-07-23T05:00:01Z,500.58,450.00,1,-0.0001
2026-07-23T05:30:00Z,500.67,450.00,1,0.0001
2026-07-23T06:00:00Z,500.65,450.00,1,0.0001
2026-07-23T06:30:00Z,500.69,450.00,1,0.0001
2026-07-23T07:00:00Z,500.72,450.00,1,0.0002
2026-07-23T07:30:00Z,500.44,450.00,1,-0.0004
2026-07-23T08:00:01Z,500.45,450.00,1,-0.0004
2026-07-23T09:00:01Z,500.60,450.00,1,-0.0001
2026-07-23T09:30:00Z,500.67,450.00,1,0.0001
2026-07-23T10:00:00Z,500.61,450.00,1,-0.0000
2026-07-23T10:30:00Z,500.70,450.00,1,0.0002
2026-07-23T11:00:01Z,500.69,450.00,1,0.0001
2026-07-23T11:30:00Z,500.59,450.00,1,-0.0001
2026-07-23T12:30:01Z,500.44,450.00,1,-0.0004
2026-07-23T13:00:00Z,500.24,450.00,1,-0.0008
2026-07-23T14:00:00Z,500.01,450.00,1,-0.0012
2026-07-23T14:30:00Z,500.22,450.00,1,-0.0008
2026-07-23T15:00:01Z,500.03,450.00,1,-0.0012
2026-07-23T16:30:00Z,499.95,450.00,1,-0.0013
2026-07-23T17:00:00Z,499.90,450.00,1,-0.0014
2026-07-23T17:30:00Z,499.97,450.00,1,-0.0013
2026-07-23T18:00:00Z,499.85,450.00,1,-0.0015
2026-07-23T18:30:00Z,499.95,450.00,1,-0.0013
2026-07-23T19:00:01Z,500.00,450.00,1,-0.0012
